alarm/modify_alarm	cambiar alarma de 7am a 7pm por favor
alarm/cancel_alarm	borrar alarmas por 20 minutos
alarm/cancel_alarm	cancelar todas las alarmas
alarm/set_alarm	encender alarma para mañana por la mañana
alarm/set_alarm	establecer una alarma para hoy a las 6 pm
alarm/time_left_on_alarm	¿ cuánto tiempo falta para mi próxima alarma ?
alarm/cancel_alarm	detener la alarma por el resto de la semana
alarm/set_alarm	establecer alarma para mañana a las 4 : 30 am
alarm/snooze_alarm	posponer todas las alarmas por 12 horas el lunes 21
alarm/snooze_alarm	posponer alarma por favor
alarm/show_alarms	mostrar mis alarmas para mañana
alarm/cancel_alarm	detener la alarma
alarm/set_alarm	establecer una alarma para mañana a las 5 am
alarm/set_alarm	configurar alarma para que suene a las 6 am
alarm/cancel_alarm	apagar alarma de las 10 pm de esta noche
alarm/show_alarms	¿ cuántas alarmas tengo configuradas ?
alarm/set_alarm	establecer alarma por 2 horas
alarm/set_alarm	establecer alarmas 20 minutos antes de las 5
alarm/cancel_alarm	borrar todas mis alarmas
alarm/snooze_alarm	pausar mi alarma para las 8 pm esta noche
alarm/set_alarm	establecer mi alarma para esta tarde a las 3 pm
alarm/cancel_alarm	apagar la alarma
alarm/set_alarm	establecer alarma para las 6 : 30 am
alarm/set_alarm	establecer alarma por 10 minutos
alarm/time_left_on_alarm	¿ cuántos minutos faltan para la alarma ?
alarm/set_alarm	configurar alarma para repetir cada hora
alarm/set_alarm	dame una alarma en 15 minutos
alarm/set_alarm	establecer alarma para las 5 pm esta noche
alarm/set_alarm	establecer mi alarma para las 6 : 30 am
alarm/set_alarm	crear una alarma
alarm/show_alarms	¿ qué alarmas están programadas para mañana ?
alarm/set_alarm	puedes configurar la alarma para las 8 : 30
alarm/cancel_alarm	cancelar alarma de mañana
alarm/show_alarms	quiero saber qué alarmas tengo programadas
alarm/set_alarm	¿ vas a programar una alarma para las 7 am ?
alarm/set_alarm	programar una alarma cada 10 minutos durante 2 horas
alarm/set_alarm	alarma de las 6 am
alarm/cancel_alarm	detener mi alarma
alarm/set_alarm	programar la alarma a las 6 : 55 am
alarm/cancel_alarm	borrar alarma de las 4 : 00 am
alarm/set_alarm	programar una nueva alarma a las 10 am para mañana por la mañana
alarm/set_alarm	programar alarma diariamente a las 7 pm
alarm/cancel_alarm	borrar alarma
alarm/snooze_alarm	posponer todas las alarmas por 7 minutos
alarm/set_alarm	programar alarma para las 6 pm
alarm/cancel_alarm	cancelar alarma
alarm/cancel_alarm	¿ cancelar mi alarma para el lunes por la mañana ?
alarm/cancel_alarm	cancelar la alarma del martes
alarm/set_alarm	programar mi alarma para el martes a las 6 am
alarm/modify_alarm	atrasar mis alarmas una hora
alarm/set_alarm	programar una alarma por 35 minutos
alarm/cancel_alarm	cancelar mis alarmas
alarm/cancel_alarm	borrar todas las alarmas
alarm/set_alarm	programar alarma cada 3 horas
alarm/set_alarm	programar alarma cada hora por hoy
alarm/set_alarm	programar mi alarma para que se active cada dos minutos
alarm/set_alarm	encender mi alarma
alarm/set_alarm	encender todas las alarmas
alarm/set_alarm	programar alarma para las 12 : 00 pm
alarm/cancel_alarm	borrar todas las alarmas del lunes
alarm/set_alarm	programar una alarma diaria a las 6 : 00 am
alarm/set_alarm	programar una alarma para las 7 am
alarm/snooze_alarm	posponer alarma por 10 minutos
alarm/cancel_alarm	detener alarma
alarm/set_alarm	programar alarma para mañana a las 4pm
alarm/set_alarm	programar alarma para mañana por la mañana
alarm/set_alarm	necesito programar una alarma
alarm/cancel_alarm	borrar alarma de las 7 am
alarm/set_alarm	programar una alarma para mañana a las 6 am
alarm/cancel_alarm	cancelar alarmas
alarm/show_alarms	leer todas las alarmas que tengo programas para el viernes
alarm/set_alarm	programar una alarma por 20 minutos para mi pizza
alarm/set_alarm	programar una alarma para mañana a las 5pm
alarm/set_alarm	crear una alarma hoy para las 5 , 5 : 20 y 5 : 40
